Unnamed: 0,Square,Price,Room,Floor,Building floor,Renovation,Material,Address,Lift,Bathroom,Washing machine,TV,Microwave oven,Playground,Furniture,Refrigerator,Air conditioner,Wifi,Cable,Security,Video surveillance,Parking space,Latitude,Longitude
156,74.2,100000,2,13,18,Евроремонт,Монолитный,"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана, площадь Хамида Алимджана",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.294316,69.294316
157,76,130000,2,3,9,Авторский проект,Кирпичный,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Гульабад",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.22538,69.22538
158,90,75000,4,4,5,Средний,Монолитный,"город Ташкент, Яшнободский район, махаллинский сход граждан Тонг",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.362525,69.362525
159,65,101999,2,8,9,Евроремонт,Монолитный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Алпомиш, улица Лашкарлар",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.340454,69.340454
160,60,69000,2,4,9,Средний,Монолитный,"город Ташкент, Яшнободский район, махаллинский сход граждан Семург",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.324652,69.324652
161,55,56000,2,5,5,Черновая отделка,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, населённый пункт Янгиабад, улица Миллий Бог",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.422317,69.422317
162,60,120000,2,3,9,Евроремонт,Другое,"город Ташкент, Мирабадский район, махаллинский сход граждан Янги Мирабад, Малая кольцевая дорога",1,0,0,1,0,1,1,1,0,1,0,1,0,0,69.271517,69.271517
163,36,38500,1,3,4,Требует ремонта,Кирпичный,"город Ташкент, Юнусабадский район, 2-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.285665,69.285665
164,45,32900,1,5,7,Евроремонт,Кирпичный,"Бухарская область, Бухара",1,0,1,1,0,1,1,1,1,1,1,0,1,1,64.421728,64.421728
165,74,76000,3,4,5,Требует ремонта,Монолитный,"город Ташкент, Мирзо-Улугбекский район, 3-й квартал",0,1,0,0,0,1,1,0,0,0,0,0,0,0,69.368328,69.368328
166,40,46000,1,4,5,Средний,Монолитный,"город Ташкент, Яшнободский район, махаллинский сход граждан Алимкент, улица Кадышева",0,1,0,0,0,1,0,0,0,1,0,0,0,1,69.335055,69.335055
167,63,75000,2,9,9,Средний,Панельный,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Шайхонтохур",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.25983,69.25983
168,73,63000,3,6,9,Евроремонт,Монолитный,"город Ташкент, Алмазарский район, махаллинский сход граждан Чимбай",1,0,0,0,0,1,1,0,0,1,1,0,0,1,69.223017,69.223017
169,36,45000,2,1,4,Средний,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Наккошлик, проспект Бунёдкор (дублёр)",0,0,0,0,1,1,0,0,0,1,0,0,0,0,69.203973,69.203973
170,111,135000,4,7,9,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Атчапар-1, проспект Амира Темура",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.287049,69.287049
171,95,90000,3,5,5,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Тонг Юлдузи, улица Сайхун",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.302392,69.302392
172,50,53000,2,2,4,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, 6-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.264537,69.264537
173,42,46500,1,3,4,Авторский проект,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богибустан, улица Машинасозлар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.321454,69.321454
174,57,65000,2,4,5,Евроремонт,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Яшнобод, улица Корасув",0,1,0,0,0,1,0,0,0,1,1,0,0,1,69.340076,69.340076
175,18,19600,1,4,4,Авторский проект,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Абдурауф Фитрат, улица Таллимаржон",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.298979,69.298979
176,52,59500,2,4,5,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Сарыкуль, улица Абдурауфа Фитрата",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.295718,69.295718
177,30,39800,1,4,4,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Темирйулчилар, улица Чамбил",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.281821,69.281821
178,63,79800,2,8,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Инокобод, улица Сайхун",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.302392,69.302392
179,63,79800,2,4,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Янги Замон, улица Янгизамон",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.295529,69.295529
180,43,42000,2,2,2,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Банокатий",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.283599,69.283599
181,40,43500,1,1,4,Средний,Монолитный,"город Ташкент, Яшнободский район, махаллинский сход граждан Алимкент, 1-й проезд Авиасозлар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.336286,69.336286
182,58,47500,2,2,2,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Бойкургон, улица Боткина",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.313298,69.313298
